k\:s	C	Ret	Affr	Unvoi	Asp	NA	NA	NA	NA
\:d	C	Ret	Stop	Voi	Unasp	NA	NA	NA	NA
\:d\:z	C	Ret	Affr	Voi	Unasp	NA	NA	NA	NA
\:d\tsup{H}	C	Ret	Stop	Voi	Asp	NA	NA	NA	NA
\:l	C	Ret	Approx	Voi	Unasp	NA	NA	NA	NA
\:l\tsup{H}	C	Ret	Approx	Voi	Asp	NA	NA	NA	NA
\:n	C	Ret	Nas	Voi	Unasp	NA	NA	NA	NA
\:n\tsup{H}	C	Ret	Nas	Voi	Asp	NA	NA	NA	NA
\:r	C	Ret	Approx	Voi	Unasp	NA	NA	NA	NA
\:r\tsup{H}	C	Ret	Approx	Voi	Asp	NA	NA	NA	NA
\:s	C	Ret	Fric	Unvoi	Unasp	NA	NA	NA	NA
\:t	C	Ret	Stop	Voi	Unasp	NA	NA	NA	NA
\:t\tsup{h}	C	Ret	Stop	Voi	Asp	NA	NA	NA	NA
\:z	C	Ret	Fric	Voi	Unasp	NA	NA	NA	NA
\*n	C	Pal	Nas	Voi	Unasp	NA	NA	NA	NA
b	C	Lab	Stop	Voi	Unasp	NA	NA	NA	NA
b\tsup{H}	C	Lab	Stop	Voi	Asp	NA	NA	NA	NA
c	C	Pal	Stop	Unvoi	Unasp	NA	NA	NA	NA
c\tsup{h}	C	Pal	Stop	Unvoi	Asp	NA	NA	NA	NA
d	C	Dent	Stop	Voi	Unasp	NA	NA	NA	NA
d\tsup{H}	C	Dent	Stop	Voi	Asp	NA	NA	NA	NA
f	C	Lab	Fric	Unvoi	Unasp	NA	NA	NA	NA
g	C	Vel	Stop	Voi	Unasp	NA	NA	NA	NA
g\tsup{h}	C	Vel	Stop	Voi	Asp	NA	NA	NA	NA
h	C	Glot	Fric	Unvoi	Unasp	NA	NA	NA	NA
J	C	Pal	Stop	Voi	Unasp	NA	NA	NA	NA
j	C	Pal	Stop	Voi	Unasp	NA	NA	NA	NA
J\tsup{H}	C	Pal	Stop	Voi	Asp	NA	NA	NA	NA
k	C	Vel	Stop	Unvoi	Unasp	NA	NA	NA	NA
k\tsup{h}	C	Vel	Stop	Unvoi	Asp	NA	NA	NA	NA
l	C	Dent	Approx	Voi	Unasp	NA	NA	NA	NA
m	C	Lab	Nas	Voi	Unasp	NA	NA	NA	NA
m\tsup{H}	C	Lab	Nas	Voi	Asp	NA	NA	NA	NA
N	C	Vel	Nas	Voi	Unasp	NA	NA	NA	NA
n	C	Dent	Nas	Voi	Unasp	NA	NA	NA	NA
n\tsup{H}	C	Dent	Nas	Voi	Asp	NA	NA	NA	NA
p	C	Lab	Stop	Unvoi	Unasp	NA	NA	NA	NA
p\tsup{h}	C	Lab	Stop	Unvoi	Asp	NA	NA	NA	NA
q	C	Uvu	Stop	Unvoi	Unasp	NA	NA	NA	NA
r	C	Dent	Approx	Voi	Unasp	NA	NA	NA	NA
S	C	Pal	Fric	Unvoi	Unasp	NA	NA	NA	NA
s	C	Dent	Fric	Unvoi	Unasp	NA	NA	NA	NA
t	C	Dent	Stop	Unvoi	Unasp	NA	NA	NA	NA
t\tsup{h}	C	Dent	Stop	Unvoi	Asp	NA	NA	NA	NA
V	C	Lab	Approx	Voi	Unasp	NA	NA	NA	NA
x	C	Vel	Fric	Unvoi	Unasp	NA	NA	NA	NA
Z	C	Pal	Fric	Voi	Unasp	NA	NA	NA	NA
z	C	Dent	Fric	Voi	Unasp	NA	NA	NA	NA
\;N	C	noplace	Nas	Voi	Unasp	NA	NA	NA	NA
\~{a:}	V	NA	NA	NA	NA	Lo	Bk	Ur	Nas
\~{a}	V	NA	NA	NA	NA	Lo	Bk	Ur	Nas
\~{e}	V	NA	NA	NA	NA	Mid	Front	Ur	Nas
\~{i:}	V	NA	NA	NA	NA	Hi	Front	Ur	Nas
\~{i}	V	NA	NA	NA	NA	Hi	Front	Ur	Nas
\~{o}	V	NA	NA	NA	NA	Mid	Bk	Ro	Nas
\~{u:}	V	NA	NA	NA	NA	Hi	Bk	Ro	Nas
\~{u}	V	NA	NA	NA	NA	Hi	Bk	Ro	Nas
a	V	NA	NA	NA	NA	Lo	Bk	Ur	Or
a:	V	NA	NA	NA	NA	Lo	Bk	Ur	Or
e	V	NA	NA	NA	NA	Mid	Front	Ur	Or
i	V	NA	NA	NA	NA	Hi	Front	Ur	Or
i:	V	NA	NA	NA	NA	Hi	Front	Ur	Or
o	V	NA	NA	NA	NA	Mid	Bk	Ro	Or
u	V	NA	NA	NA	NA	Hi	Bk	Ro	Or
u:	V	NA	NA	NA	NA	Hi	Bk	Ro	Or
\s{r}	V	NA	NA	NA	NA	Hi	Bk	Ro	Or
#	NA	NA	NA	NA	NA	NA	NA	NA	NA
